unit,song,artist,gender_of_artist,race_of_lead_artist,length_of_song,current_age,beat_of_song,year_of_song,lyrical_theme,single_or_album,level_of_formality,language_of_song,monthly_listeners,artist_count,explicit_or_clean,awards_won,number_of_songwriters,repetition_of_chorus,number_of_vocalists,number_of_instruments,has_song_been_number_1,does_it_have_music_video,certification_of_song,tempo_of_song,has_song_been_sampled,virality_score_of_song
S144,Inside Out,Spoon,3,2,3.67,54,2,2014,2,2,2,1,108 086 008,5,2,2,3,3,5,7,2,1,4,3,2,5
S145,Gone,Charli XCX (ft. Christine and the Queens),1,1,4.05,33,3,2017,1,2,3,1,57 559 950,2,3,2,3,4,2,6,2,1,4,2,2,6
S146,Sold Out Dates,Gunna (ft. Lil Baby),2,1,2.46,32,2,2018,4,1,4,1,323307495,2,1,2,4,3,2,5,2,2,4,3,2,6
S147,Boo'd Up,Ella Mai,1,5,4.16,30,2,2017,1,1,4,1,96022186,1,1,1,3,5,1,5,2,1,4,2,2,9
S148,Crew,GoldLink (ft. Brent Faiyaz and Shy Glizzy),2,1,2.57,32,2,2017,4,1,4,1,698196417,3,1,2,4,4,3,5,2,1,1,3,2,9
S149,Stonemilker,Björk ,1,2,6.49,59,2,2015,2,2,2,1,8817033,1,2,2,2,3,1,4,2,1,4,2,2,5
S150,Beez in the Trap,Nicki Minaj (ft. 2 Chainz),1,1,4.28,42,2,2012,4,1,4,1,147631409,2,1,2,5,4,2,4,2,1,4,3,2,6
S151,Glass Jar,Gang Gang Dance,3,2,11.22,51,3,2010,5,2,3,1,1180606,4,1,2,4,3,4,4,2,2,4,3,2,4
S152,Wrecking Ball,Miley Cyrus,1,1,3.41,32,2,2013,1,1,3,1,1162071015,1,3,1,3,4,1,6,1,1,4,2,2,8
S153,30,Danny Brown,2,1,3.19,44,1,2016,2,2,4,1,2963507,1,1,2,3,3,1,5,2,2,1,1,2,5
S154,Everybody Wants to Love You,Japanese Breakfast,1,4,2.32,36,1,2016,1,1,3,1,31350511,6,2,2,3,3,6,5,2,1,4,3,2,5
S155,Blood on the Leaves,Kanye West,2,1,6,48,3,2013,5,2,4,1,216941199,1,1,2,5,3,1,4,2,2,4,3,1,8
S156,Wut,Girl Unit,2,2,7,36,1,2010,3,1,4,1,1428014,1,1,2,2,2,1,4,2,2,4,1,2,4
S157,1+1,Beyoncé,1,1,4.33,44,2,2008,1,1,3,1,95927421,1,2,2,4,4,1,5,2,1,4,2,2,7
S158,Hard in da Paint,Waka Flocka Flame,2,1,4.03,39,1,2010,3,1,4,1,156674669,1,1,2,3,4,1,4,2,1,4,1,2,7
S159,Katy on a Mission,Katy B,1,2,4.11,36,1,2010,3,1,3,1,86595511,1,2,2,4,4,1,4,2,1,4,1,2,6
S160,Oldie,Odd Future,3,1,10.36,34,3,2012,5,1,4,1,104735794,2,1,2,5,3,2,4,2,1,4,3,2,6
S161,Clarks,Vybz Kartel (ft. Popcaan and Gaza Slim),2,1,3.09,49,1,2011,3,1,4,1,50163518,3,1,2,4,3,3,2,2,2,4,3,2,4
S162,No Problem,Chance the Rapper (ft 2 Chainz and Lil Wayne,2,1,5.05,32,1,2016,4,2,4,1,528357505,3,1,2,6,4,3,5,2,1,4,3,2,8
S163,Fall,Davido,2,1,4,32,2,2017,1,1,3,1,126032846,1,1,2,3,3,1,5,2,1,4,3,2,5
S164,New for U,Andrés,2,1,5.46,40,2,2017,1,1,3,1,"30,381",1,2,2,2,3,1,4,2,2,4,3,2,4
S165,"Back, Baby",Jessica Pratt,1,2,4.03,38,2,2017,1,1,3,1,15355381,1,2,2,2,3,1,2,2,2,4,2,2,4
S166,Caro,Bad Bunny,2,3,3.5,31,2,2018,1,1,3,2,311753590,1,1,2,3,3,1,4,2,1,4,3,2,5
S167,Tinashe,2 On,1,5,3.83,32,3,2014,3,2,4,1,32483566,1,1,2,6,3,1,4,2,1,1,2,1,7
S168,King Krule,Dum Surfer,2,2,4,31,3,2017,2,2,2,1,1383190,1,1,2,1,0,1,5,2,1,4,2,2,5
S169,St.Vincent,New York,1,2,2.15,42,3,2017,5,2,2,1,5564514,1,1,1,2,2,1,4,2,1,4,3,2,4
S170,Lil Peep,Kiss,2,2,3.33,21,3,2016,5,1,4,1,"20,332,469",1,1,2,2,2,1,3,2,1,4,3,1,6
S171,Adele,Rolling in the Deep,1,2,3.83,37,1,2010,1,2,1,1,"56,908,976",1,2,1,2,3,1,5,1,1,1,2,1,10
S172,Sleep,Marijuanaut's Theme,3,2,9.12,51,1,2018,5,2,4,1,"213,134",1,2,2,3,0,1,3,2,1,4,3,2,3
